,C0A580,C0A970,466940,C0A540,C0A550,C0A9A0,C0AC60,C0A870,466920,C0A520,C0A9F0,C0ACA0,C0A640,C0AD10,466880,C0AD00,C0A650,C0A9G0,C0A530,466930,C0A860,C0AC70,C0AC40,C0AD30,C0A890,C0AH00,C0A660,C0AC80,C0AG90,C0A710,C0A9E0,C0A880,C0AD20,C0A920,466910,C0A9I1,C0AD50,C0A9B0,C0A560,C0A950,C0A940,C0A570,C0A980,C0A9C0,C0AD40
20130101,1.5,6.0,4.0,2.5,2.5,1.0,2.0,2.0,1.5,2.0,1.0,1.5,1.5,2.0,2.0,2.5,2.5,1.5,1.0,2.5,4.5,1.5,3.5,1.5,3.5,1.5,3.0,1.5,2.0,2.0,1.5,5.0,1.0,3.0,3.0,1.0,1.5,1.0,1.5,4.0,3.5,1.0,2.5,1.0,1.5
20130102,1.0,2.0,0.2,0.5,4.0,0.5,3.0,2.5,0.5,2.0,0.0,0.5,1.0,0.5,3.0,0.5,4.5,0.5,1.0,2.5,6.0,0.5,2.0,0.5,3.5,1.0,0.5,0.5,2.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,0.5,0.0,0.5,0.5,0.5,2.0,1.0,0.0,2.5
20130103,4.0,1.5,3.9,2.0,9.0,1.0,2.5,7.0,2.0,3.5,1.5,1.5,2.5,1.5,2.5,4.0,4.0,2.0,2.0,4.5,12.5,1.5,4.0,2.0,3.5,4.5,4.0,3.0,1.5,3.0,1.0,2.5,2.5,4.5,5.5,1.5,3.5,0.5,2.0,1.0,2.5,2.5,1.5,0.5,2.5
20130104,1.0,2.0,4.0,2.0,3.0,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,3.0,2.0,1.5,1.5,3.0,8.5,1.5,2.0,1.0,5.5,3.0,6.0,1.0,1.0,2.0,0.5,5.5,2.0,6.5,3.0,0.5,1.0,0.5,1.5,1.5,3.5,1.0,0.5,0.5,1.5
20130105,0.5,8.5,9.5,4.5,3.5,0.5,1.0,3.0,1.0,2.0,0.5,0.5,3.0,1.0,1.5,4.5,1.0,1.5,1.0,1.5,10.0,2.0,1.0,0.5,3.5,3.5,16.0,3.0,2.5,1.5,0.0,9.5,2.0,13.5,2.0,0.5,1.0,0.0,1.0,5.5,11.0,1.5,0.0,0.0,1.5
20130106,1.0,9.0,3.8,2.5,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,1.0,0.5,1.0,0.5,5.5,0.5,1.0,0.0,2.5,1.0,5.5,0.5,0.0,0.0,0.0,5.5,0.5,5.5,1.5,0.0,0.0,0.0,1.0,3.0,3.5,1.0,0.0,0.0,0.5
20130107,1.0,4.0,3.2,0.5,2.0,0.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,2.5,1.5,0.0,0.5,0.5,3.5,0.5,1.0,0.0,1.5,0.5,6.0,0.5,0.0,0.5,0.0,5.5,0.5,5.5,1.0,0.0,0.5,0.0,1.0,4.5,3.0,0.5,0.5,0.0,0.0
20130108,1.5,2.5,6.0,1.5,2.5,0.5,1.5,4.5,1.0,2.5,0.5,2.0,1.5,2.0,2.5,4.5,2.0,2.0,1.0,2.5,7.5,2.0,2.0,1.0,2.5,2.0,9.5,1.5,1.5,2.5,1.0,7.0,1.5,8.0,3.0,1.5,1.5,0.5,1.0,2.0,4.5,1.0,1.5,0.5,2.5
20130109,2.5,4.5,3.8,2.0,4.0,1.5,3.0,4.5,2.0,2.0,2.0,1.5,3.0,1.5,2.5,3.5,3.0,2.0,2.0,2.0,9.5,1.5,1.0,0.5,4.0,4.0,5.5,2.5,2.5,1.5,1.0,7.0,3.0,7.0,2.0,1.5,2.0,1.5,1.5,2.5,3.0,2.0,1.5,1.0,3.0
20130110,2.0,3.0,3.0,1.0,3.5,0.0,0.5,3.5,0.5,0.5,1.0,0.5,2.0,0.0,1.0,3.0,1.5,1.5,1.0,3.0,8.0,1.5,2.0,0.0,5.0,2.5,4.0,1.5,1.0,0.5,0.0,3.0,1.0,3.5,2.5,0.0,0.5,0.5,2.5,2.0,1.5,1.0,0.5,0.0,1.5
20130111,0.5,10.5,1.6,1.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,0.5,0.5,1.0,2.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.5,1.5,0.0,0.0,0.0,1.0,8.0,0.5,0.5,0.0,0.0,0.0
20130112,9.0,8.5,18.0,3.0,13.0,5.5,5.5,9.5,7.0,5.0,7.5,4.5,10.5,5.0,4.5,6.0,8.5,6.0,4.5,4.0,14.0,6.0,3.5,3.5,26.0,7.5,21.0,5.5,4.5,5.0,4.0,26.5,8.5,12.5,5.5,3.5,5.0,4.5,1.0,11.5,9.5,3.0,3.0,4.0,4.5
