,CS,TYW,NWPTC,FT,NE,SWF,HRD,HRH,PRD,PRH
20130101,0,0.0,1,0,0,0,1,0,44.5,6.0
20130102,0,0.0,1,0,1,0,0,0,17.0,6.0
20130103,0,0.0,1,0,1,0,1,1,118.0,12.5
20130104,0,0.0,1,0,1,0,1,0,90.0,8.5
20130105,0,0.0,1,0,1,0,1,1,116.5,16.0
20130106,0,0.0,1,0,1,0,1,0,62.0,9.0
20130107,0,0.0,1,0,1,0,1,0,71.5,6.0
20130108,0,0.0,1,1,1,0,1,0,99.0,9.5
20130109,0,0.0,1,0,1,0,1,0,112.0,9.5
20130110,0,0.0,1,0,1,0,1,0,72.0,8.0
20130111,0,0.0,0,0,1,0,1,1,45.0,11.0
20130112,0,0.0,0,1,1,0,1,1,137.0,26.5
20130113,0,0.0,0,1,0,0,1,1,63.5,18.5
20130114,0,0.0,0,0,1,0,0,0,1.0,0.5
20130115,0,0.0,0,0,0,0,0,0,0.0,0.0
20130116,0,0.0,0,0,1,0,1,1,56.5,14.5
20130117,0,0.0,0,0,1,0,0,0,37.0,4.0
20130118,0,0.0,0,0,1,0,0,0,1.5,0.5
20130119,0,0.0,0,0,0,0,0,0,1.5,1.5
20130120,0,0.0,0,0,0,0,0,0,2.0,2.0
20130121,0,0.0,0,0,0,0,0,0,1.0,0.5
20130122,0,0.0,0,0,1,0,0,0,11.5,2.5
20130123,0,0.0,0,0,1,0,0,0,17.0,3.0
20130124,0,0.0,0,0,1,0,0,0,3.5,3.5
20130125,0,0.0,0,0,1,0,0,0,13.0,5.0
20130126,0,0.0,0,0,1,0,0,0,8.5,2.5
20130127,0,0.0,0,0,1,0,0,0,11.0,3.5
20130128,0,0.0,0,0,0,0,0,0,0.5,0.5
20130129,0,0.0,0,0,0,0,0,0,0.5,0.5
20130130,0,0.0,0,0,0,0,0,0,0.0,0.0
20130131,0,0.0,0,0,0,0,0,0,0.0,0.0
20130201,0,0.0,0,0,0,0,0,0,0.0,0.0
20130202,0,0.0,0,0,1,0,0,0,32.0,5.5
20130203,0,0.0,0,1,0,0,0,0,29.5,6.0
20130204,0,0.0,0,0,0,0,0,0,5.5,4.0
20130205,0,0.0,0,1,0,0,0,0,4.0,1.5
20130206,0,0.0,0,1,1,0,0,0,17.5,3.5
20130207,0,0.0,0,1,1,0,1,1,108.5,21.5
20130208,0,0.0,0,0,1,0,1,0,114.0,9.5
20130209,0,0.0,0,0,1,0,1,0,45.5,5.5
20130210,0,0.0,0,0,1,0,1,0,78.5,6.0
20130211,0,0.0,0,0,1,0,1,0,116.5,8.0
20130212,0,0.0,0,1,1,0,0,0,34.5,6.0
20130213,0,0.0,0,0,0,0,1,0,43.0,6.5
20130214,0,0.0,0,0,0,0,0,0,0.0,0.0
20130215,0,0.0,0,1,1,0,1,0,63.0,9.0
20130216,0,0.0,0,0,0,0,0,0,10.5,2.5
20130217,0,0.0,0,0,0,0,0,0,10.0,2.5
20130218,0,0.0,1,0,0,0,0,0,0.0,0.0
20130219,0,0.0,1,1,1,0,1,0,64.0,9.0
20130220,0,0.0,1,0,1,0,0,0,36.0,5.0
20130221,0,0.0,1,0,1,0,1,1,72.0,13.5
20130222,0,0.0,1,1,1,0,1,0,90.0,9.0
20130223,0,0.0,1,0,1,0,0,0,34.0,6.5
20130224,0,0.0,0,0,0,0,0,0,24.0,6.0
20130225,0,0.0,0,0,0,0,0,0,0.5,0.5
20130226,0,0.0,0,0,0,0,0,0,0.0,0.0
20130227,0,0.0,0,1,1,0,1,1,72.0,14.0
20130228,0,0.0,0,0,0,0,0,0,1.5,0.5
20130301,0,0.0,0,0,1,0,0,0,23.5,7.0
20130302,0,0.0,0,0,1,0,1,0,66.0,9.0
20130303,0,0.0,0,0,1,0,0,0,5.0,1.0
20130304,0,0.0,0,0,1,0,0,0,0.5,0.5
20130305,0,0.0,0,0,0,0,0,0,0.0,0.0
20130306,0,0.0,0,0,0,0,0,0,0.0,0.0
20130307,0,0.0,0,0,0,0,0,0,0.0,0.0
20130308,0,0.0,0,0,0,0,0,0,0.0,0.0
20130309,0,0.0,0,0,0,0,0,0,0.0,0.0
20130310,0,0.0,0,0,1,0,0,0,3.5,1.0
20130311,0,0.0,0,0,1,0,0,0,1.0,0.5
20130312,0,0.0,0,0,0,0,0,0,0.5,0.5
20130313,0,0.0,0,1,0,0,0,0,13.0,3.5
20130314,0,0.0,0,0,1,0,0,0,13.5,2.5
20130315,0,0.0,0,0,0,0,0,0,14.5,5.5
20130316,0,0.0,0,0,0,0,0,0,0.5,0.5
20130317,0,0.0,0,0,0,0,0,0,0.5,0.5
