id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,493,180,196,579,0.72,0.76,0.47582873,0.7325,0.7471,0.2372,0.5673,0.7403,0.7392,0.7239,0.479,0.48,0.4796,0.2638,0.0163,0.0608,0.0002,0.7404,0.0297,1.0,0.0,0.7156,0.0369,1.0,0.0,0.735,0.0408,1.0,0.0,0.803,0.0264,1.0,0.0,0.7241,0.0283,1.0,0.0,PCA,NWPTY
PCA-FT,95,136,144,1073,0.4,0.89,0.16505525,0.4113,0.8817,0.1125,0.2533,0.8066,0.6425,0.4043,0.2889,0.29,0.293,0.2647,0.0091,0.0608,0.0,0.8066,0.0323,1.0,0.0,0.3978,0.0951,1.0,0.0,0.4195,0.1074,1.0,0.0,0.7594,0.0437,1.0,0.0,0.4043,0.088,1.0,0.0,PCA,FT
PCA-NE,282,221,187,758,0.6,0.77,0.32389503,0.5606,0.8021,0.2257,0.4087,0.7182,0.6878,0.5802,0.3691,0.37,0.3627,0.309,0.0127,0.0608,0.0001,0.7182,0.0412,1.0,0.0,0.6013,0.0746,1.0,0.0,0.5634,0.0623,1.0,0.0,0.7672,0.05,1.0,0.0,0.5798,0.0588,1.0,0.0,PCA,NE
PCA-SWF,298,102,95,953,0.76,0.9,0.27140884,0.745,0.9094,0.0967,0.602,0.864,0.8308,0.7516,0.658,0.66,0.6544,0.2261,0.008,0.0608,0.0001,0.864,0.0241,1.0,0.0,0.7585,0.0621,1.0,0.0,0.7461,0.0478,1.0,0.0,0.9329,0.0192,1.0,0.0,0.7511,0.0468,1.0,0.0,PCA,SWF
PCA-HRD,173,247,243,785,0.42,0.76,0.28729282,0.4119,0.7636,0.2393,0.2609,0.6616,0.5883,0.4139,0.176,0.18,0.1755,0.3076,0.0078,0.0609,0.0001,0.6616,0.0251,1.0,0.0,0.416,0.0597,1.0,0.0,0.4135,0.0454,1.0,0.0,0.6296,0.0511,1.0,0.0,0.4127,0.0445,1.0,0.0,PCA,HRD
PCA-HRH,254,244,261,689,0.49,0.74,0.35566298,0.51,0.7253,0.2615,0.3347,0.6512,0.6158,0.5015,0.2335,0.23,0.2353,0.3072,0.0094,0.0608,0.0001,0.6512,0.0499,1.0,0.0,0.493,0.0741,1.0,0.0,0.511,0.0745,1.0,0.0,0.6556,0.0584,1.0,0.0,0.5011,0.0715,1.0,0.0,PCA,HRH
CAE-NWPTY,467,196,222,563,0.68,0.74,0.47582873,0.7044,0.7172,0.2582,0.5277,0.7113,0.7098,0.6908,0.4206,0.42,0.4216,1.2815,0.2146,0.0608,0.0001,0.7114,0.0309,0.9955,0.0011,0.6778,0.0462,0.994,0.0013,0.7065,0.0414,0.9964,0.0016,0.7755,0.0284,0.9999,0.0,0.6906,0.0329,0.9952,0.0011,CAE,NWPTY
CAE-FT,109,166,130,1043,0.46,0.86,0.16505525,0.3964,0.8892,0.1373,0.2691,0.7956,0.6594,0.4241,0.3017,0.32,0.2856,1.2094,0.052,0.0609,0.0001,0.7956,0.03,0.9992,0.0005,0.4567,0.0922,1.0,0.0,0.398,0.0775,0.9954,0.0029,0.7679,0.0414,1.0,0.0,0.4242,0.0805,0.9977,0.0015,CAE,FT
CAE-NE,292,231,177,748,0.62,0.76,0.32389503,0.5583,0.8086,0.236,0.4171,0.7182,0.6933,0.5887,0.3767,0.38,0.3669,1.4824,0.2116,0.0608,0.0001,0.7182,0.0328,0.992,0.0015,0.6228,0.0652,1.0,0.0,0.5612,0.0526,0.976,0.0046,0.7841,0.0382,1.0,0.0,0.5883,0.0463,0.9878,0.0023,CAE,NE
CAE-SWF,307,95,86,960,0.78,0.91,0.27140884,0.7637,0.9178,0.09,0.6291,0.875,0.8456,0.7723,0.6863,0.69,0.6815,0.9216,0.0647,0.0608,0.0001,0.875,0.013,1.0,0.0,0.7813,0.0479,1.0,0.0,0.7661,0.0372,1.0,0.0,0.9388,0.0145,1.0,0.0,0.772,0.0244,1.0,0.0,CAE,SWF
