id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,494,182,195,577,0.72,0.76,0.47582873,0.7308,0.7474,0.2398,0.5672,0.7396,0.7386,0.7238,0.4777,0.48,0.4782,0.2574,0.0113,0.0609,0.0002,0.7397,0.0279,1.0,0.0,0.7171,0.0375,1.0,0.0,0.7331,0.0385,1.0,0.0,0.804,0.0263,1.0,0.0,0.7239,0.0269,1.0,0.0,PCA,NWPTY
PCA-FT,95,139,144,1070,0.4,0.89,0.16505525,0.406,0.8814,0.115,0.2513,0.8046,0.6413,0.4017,0.2849,0.29,0.2874,0.2568,0.0049,0.0609,0.0001,0.8046,0.0316,1.0,0.0,0.3978,0.0875,1.0,0.0,0.4163,0.1033,1.0,0.0,0.7601,0.0436,1.0,0.0,0.402,0.0792,1.0,0.0,PCA,FT
PCA-NE,283,220,186,759,0.6,0.78,0.32389503,0.5626,0.8032,0.2247,0.4107,0.7196,0.6893,0.5823,0.3722,0.38,0.3658,0.3065,0.009,0.061,0.0001,0.7195,0.0402,1.0,0.0,0.6035,0.0697,1.0,0.0,0.5656,0.061,1.0,0.0,0.7689,0.0502,1.0,0.0,0.5821,0.0557,1.0,0.0,PCA,NE
PCA-SWF,298,101,95,954,0.76,0.9,0.27140884,0.7469,0.9094,0.0957,0.6032,0.8646,0.8313,0.7525,0.6594,0.66,0.6563,0.2283,0.008,0.0611,0.0002,0.8647,0.0247,1.0,0.0,0.7585,0.0621,1.0,0.0,0.7481,0.0493,1.0,0.0,0.9332,0.0193,1.0,0.0,0.7521,0.0476,1.0,0.0,PCA,SWF
PCA-HRD,174,247,242,785,0.42,0.76,0.28729282,0.4133,0.7644,0.2393,0.2624,0.6623,0.5895,0.4158,0.1783,0.18,0.1777,0.2926,0.0101,0.061,0.0001,0.6623,0.0258,1.0,0.0,0.4184,0.0587,1.0,0.0,0.415,0.0467,1.0,0.0,0.6306,0.0515,1.0,0.0,0.4147,0.0448,1.0,0.0,PCA,HRD
PCA-HRH,256,242,259,691,0.5,0.74,0.35566298,0.5141,0.7274,0.2594,0.3382,0.654,0.6189,0.5054,0.2396,0.24,0.2415,0.3046,0.0111,0.0609,0.0001,0.654,0.0494,1.0,0.0,0.4969,0.0746,1.0,0.0,0.5147,0.0743,1.0,0.0,0.6569,0.0578,1.0,0.0,0.5049,0.0719,1.0,0.0,PCA,HRH
CAE-NWPTY,468,193,221,566,0.68,0.75,0.47582873,0.708,0.7192,0.2543,0.5306,0.7141,0.7125,0.6933,0.4261,0.43,0.4272,1.2299,0.2055,0.0609,0.0001,0.7141,0.0291,0.9927,0.0017,0.6792,0.0397,0.9902,0.0021,0.7101,0.0403,0.9945,0.0022,0.7792,0.0291,0.9997,0.0001,0.6933,0.0297,0.9923,0.0017,CAE,NWPTY
CAE-FT,108,169,131,1040,0.45,0.86,0.16505525,0.3899,0.8881,0.1398,0.2647,0.7928,0.656,0.4186,0.2946,0.31,0.278,1.08,0.1106,0.0609,0.0001,0.7929,0.0301,0.9982,0.0005,0.4525,0.093,1.0,0.0,0.3922,0.0782,0.989,0.003,0.7689,0.0407,1.0,0.0,0.4186,0.0795,0.9945,0.0015,CAE,FT
CAE-NE,300,231,169,748,0.64,0.76,0.32389503,0.565,0.8157,0.236,0.4286,0.7238,0.7019,0.6,0.392,0.4,0.3807,1.3478,0.0509,0.0619,0.0026,0.7237,0.0376,0.986,0.0023,0.6398,0.0675,1.0,0.0,0.5677,0.0592,0.9587,0.0066,0.7865,0.0377,0.9999,0.0001,0.5999,0.0532,0.9789,0.0034,CAE,NE
CAE-SWF,310,95,83,960,0.79,0.91,0.27140884,0.7654,0.9204,0.09,0.6352,0.8771,0.8494,0.7769,0.6923,0.7,0.6858,0.8864,0.0962,0.061,0.0001,0.8771,0.0124,1.0,0.0,0.7889,0.0504,1.0,0.0,0.7679,0.0363,1.0,0.0,0.9391,0.0145,1.0,0.0,0.7765,0.024,1.0,0.0,CAE,SWF
