id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,491,178,198,581,0.71,0.77,0.47582873,0.7339,0.7458,0.2345,0.5663,0.7403,0.7391,0.7231,0.4789,0.48,0.4797,0.266,0.0235,0.0615,0.0003,0.7404,0.0291,1.0,0.0,0.7127,0.035,1.0,0.0,0.7366,0.0417,1.0,0.0,0.804,0.0263,1.0,0.0,0.7233,0.0269,1.0,0.0,PCA,NWPTY
PCA-FT,79,95,160,1114,0.33,0.92,0.16505525,0.454,0.8744,0.0786,0.2365,0.8239,0.626,0.3826,0.2877,0.25,0.3284,0.2484,0.0135,0.0616,0.0002,0.8239,0.0223,1.0,0.0,0.3312,0.0987,1.0,0.0,0.4513,0.1033,1.0,0.0,0.7615,0.0439,1.0,0.0,0.3791,0.0956,1.0,0.0,PCA,FT
PCA-NE,260,195,209,784,0.55,0.8,0.32389503,0.5714,0.7895,0.1992,0.3916,0.721,0.6776,0.5628,0.3581,0.35,0.3609,0.2919,0.0111,0.0615,0.0002,0.7209,0.0421,1.0,0.0,0.5544,0.076,1.0,0.0,0.5747,0.0705,1.0,0.0,0.7691,0.0503,1.0,0.0,0.5623,0.0635,1.0,0.0,PCA,NE
PCA-SWF,283,90,110,965,0.72,0.91,0.27140884,0.7587,0.8977,0.0853,0.5859,0.8619,0.8174,0.7389,0.6455,0.63,0.6564,0.2203,0.0057,0.0614,0.0003,0.8619,0.0188,1.0,0.0,0.7202,0.0479,1.0,0.0,0.7599,0.0425,1.0,0.0,0.9334,0.0192,1.0,0.0,0.7386,0.0373,1.0,0.0,PCA,SWF
PCA-HRD,156,206,260,826,0.38,0.8,0.28729282,0.4309,0.7606,0.1996,0.2508,0.6782,0.5877,0.401,0.1833,0.18,0.1915,0.2955,0.011,0.0614,0.0001,0.6782,0.0217,1.0,0.0,0.3751,0.0592,1.0,0.0,0.432,0.044,1.0,0.0,0.6307,0.051,1.0,0.0,0.3994,0.0465,1.0,0.0,PCA,HRD
PCA-HRH,235,217,280,716,0.46,0.77,0.35566298,0.5199,0.7189,0.2326,0.321,0.6568,0.6119,0.486,0.2311,0.23,0.2388,0.2988,0.0071,0.0616,0.0003,0.6567,0.0484,1.0,0.0,0.4561,0.0638,1.0,0.0,0.5224,0.0784,1.0,0.0,0.6576,0.0578,1.0,0.0,0.4862,0.0674,1.0,0.0,PCA,HRH
CAE-NWPTY,465,190,224,569,0.67,0.75,0.47582873,0.7099,0.7175,0.2503,0.529,0.7141,0.7123,0.692,0.426,0.42,0.4274,1.2021,0.1747,0.0616,0.0001,0.7141,0.0279,0.9919,0.0018,0.6749,0.0411,0.9874,0.0026,0.7118,0.0384,0.9956,0.0019,0.7795,0.0289,0.9997,0.0001,0.6918,0.0298,0.9915,0.0019,CAE,NWPTY
CAE-FT,93,122,146,1087,0.39,0.9,0.16505525,0.4326,0.8816,0.1009,0.2576,0.8149,0.6441,0.4097,0.3009,0.29,0.3142,1.0258,0.1411,0.0617,0.0002,0.815,0.024,0.9995,0.0004,0.3897,0.0736,0.9972,0.0023,0.4402,0.0802,1.0,0.0,0.7705,0.0402,1.0,0.0,0.4094,0.0626,0.9986,0.0011,CAE,FT
CAE-NE,272,199,197,780,0.58,0.8,0.32389503,0.5775,0.7984,0.2033,0.4072,0.7265,0.6883,0.5787,0.3763,0.38,0.3759,1.3081,0.1185,0.0616,0.0001,0.7265,0.0327,0.9974,0.0011,0.58,0.0534,0.9964,0.0022,0.5801,0.0553,0.9955,0.0025,0.7862,0.0383,1.0,0.0,0.5787,0.0463,0.996,0.0018,CAE,NE
CAE-SWF,290,80,103,975,0.74,0.92,0.27140884,0.7838,0.9045,0.0758,0.6131,0.8736,0.831,0.7602,0.675,0.66,0.6883,0.9304,0.1167,0.0616,0.0002,0.8736,0.0176,1.0,0.0,0.7381,0.0556,1.0,0.0,0.7863,0.0436,1.0,0.0,0.9393,0.0145,1.0,0.0,0.7596,0.0349,1.0,0.0,CAE,SWF
CAE-HRD,157,232,259,800,0.38,0.78,0.28729282,0.4036,0.7554,0.2248,0.2423,0.6609,0.5763,0.3901,0.1558,0.16,0.159,1.5405,0.1821,0.0617,0.0001,0.6609,0.034,0.9899,0.0024,0.3769,0.1019,0.9706,0.0077,0.3982,0.0741,0.9943,0.0026,0.6343,0.0502,0.9992,0.0004,0.3859,0.0868,0.9823,0.0042,CAE,HRD
CAE-HRH,262,235,253,698,0.51,0.75,0.35566298,0.5272,0.734,0.2519,0.3493,0.663,0.6284,0.5178,0.259,0.26,0.2612,1.4329,0.1631,0.0615,0.0002,0.663,0.0481,0.9879,0.0009,0.5085,0.0675,0.9685,0.0028,0.5291,0.0714,0.9973,0.0013,0.6793,0.0481,0.9991,0.0002,0.5177,0.0665,0.9827,0.0013,CAE,HRH
