id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,489,179,200,580,0.71,0.76,0.47582873,0.732,0.7436,0.2358,0.5634,0.7383,0.7369,0.7207,0.4748,0.47,0.4756,0.2673,0.0127,0.0608,0.0002,0.7383,0.0288,1.0,0.0,0.7098,0.0332,1.0,0.0,0.7347,0.041,1.0,0.0,0.803,0.0264,1.0,0.0,0.721,0.0262,1.0,0.0,PCA,NWPTY
PCA-FT,79,96,160,1113,0.33,0.92,0.16505525,0.4514,0.8743,0.0794,0.2358,0.8232,0.6256,0.3816,0.286,0.25,0.3257,0.2616,0.0123,0.0609,0.0001,0.8232,0.023,1.0,0.0,0.3312,0.0987,1.0,0.0,0.4492,0.1047,1.0,0.0,0.7602,0.0437,1.0,0.0,0.3783,0.096,1.0,0.0,PCA,FT
PCA-NE,259,197,210,782,0.55,0.8,0.32389503,0.568,0.7883,0.2012,0.3889,0.7189,0.6755,0.56,0.3536,0.35,0.3563,0.3306,0.0118,0.0609,0.0001,0.7189,0.04,1.0,0.0,0.5523,0.0786,1.0,0.0,0.5708,0.0672,1.0,0.0,0.7674,0.05,1.0,0.0,0.5591,0.0627,1.0,0.0,PCA,NE
PCA-SWF,281,91,112,964,0.72,0.91,0.27140884,0.7554,0.8959,0.0863,0.5806,0.8598,0.8144,0.7346,0.6399,0.63,0.6513,0.229,0.0151,0.0609,0.0001,0.8598,0.0196,1.0,0.0,0.7151,0.0527,1.0,0.0,0.7562,0.0418,1.0,0.0,0.9329,0.0192,1.0,0.0,0.7342,0.0402,1.0,0.0,PCA,SWF
PCA-HRD,156,210,260,822,0.38,0.8,0.28729282,0.4262,0.7597,0.2035,0.2492,0.6754,0.5858,0.399,0.1786,0.18,0.1859,0.3162,0.0169,0.0608,0.0001,0.6754,0.0202,1.0,0.0,0.3751,0.0602,1.0,0.0,0.427,0.0404,1.0,0.0,0.6299,0.0508,1.0,0.0,0.3972,0.0455,1.0,0.0,PCA,HRD
PCA-HRH,235,221,280,712,0.46,0.76,0.35566298,0.5154,0.7177,0.2369,0.3193,0.654,0.6097,0.484,0.2262,0.22,0.2331,0.3299,0.0112,0.0608,0.0001,0.6539,0.049,1.0,0.0,0.4561,0.0667,1.0,0.0,0.5177,0.0784,1.0,0.0,0.656,0.0584,1.0,0.0,0.4841,0.0687,1.0,0.0,PCA,HRH
CAE-NWPTY,464,194,225,565,0.67,0.74,0.47582873,0.7052,0.7152,0.2556,0.5255,0.7106,0.7089,0.6889,0.4191,0.41,0.4204,1.2198,0.2405,0.061,0.0001,0.7107,0.0289,0.995,0.0012,0.6734,0.0463,0.9919,0.0026,0.7071,0.039,0.9976,0.0008,0.7756,0.0283,0.9999,0.0,0.6886,0.032,0.9947,0.0013,CAE,NWPTY
CAE-FT,96,123,143,1086,0.4,0.9,0.16505525,0.4384,0.8836,0.1017,0.2652,0.8163,0.65,0.4192,0.3108,0.3,0.322,1.1139,0.1373,0.0608,0.0001,0.8163,0.0277,0.9998,0.0003,0.4024,0.0818,0.9991,0.0019,0.4469,0.0908,1.0,0.0,0.7694,0.0408,1.0,0.0,0.4193,0.073,0.9995,0.0009,CAE,FT
CAE-NE,275,199,194,780,0.59,0.8,0.32389503,0.5802,0.8008,0.2033,0.4117,0.7286,0.6915,0.5832,0.382,0.39,0.381,1.5397,0.1176,0.0608,0.0001,0.7285,0.0337,0.9988,0.0008,0.5864,0.0561,0.9983,0.0015,0.5826,0.0562,0.9979,0.0013,0.7846,0.0378,1.0,0.0,0.5832,0.0487,0.9981,0.0012,CAE,NE
CAE-SWF,290,81,103,974,0.74,0.92,0.27140884,0.7817,0.9044,0.0768,0.6118,0.8729,0.8306,0.7592,0.6735,0.66,0.6861,0.9362,0.1021,0.0611,0.0006,0.8729,0.0179,1.0,0.0,0.7381,0.0556,1.0,0.0,0.7835,0.0392,1.0,0.0,0.9389,0.0146,1.0,0.0,0.7586,0.0361,1.0,0.0,CAE,SWF
CAE-HRD,155,234,261,798,0.37,0.77,0.28729282,0.3985,0.7535,0.2267,0.2385,0.6581,0.5729,0.3851,0.1489,0.14,0.152,1.7212,0.147,0.0609,0.0001,0.6582,0.0326,0.9936,0.0017,0.3721,0.0991,0.9816,0.0045,0.3933,0.0721,0.9959,0.0018,0.6336,0.0497,0.9996,0.0002,0.381,0.0844,0.9887,0.003,CAE,HRD
CAE-HRH,261,240,254,693,0.51,0.74,0.35566298,0.521,0.7318,0.2572,0.3457,0.6588,0.6248,0.5138,0.2511,0.25,0.2528,1.5427,0.1433,0.0608,0.0,0.6589,0.0472,0.991,0.001,0.5066,0.0726,0.9769,0.0027,0.5215,0.07,0.9978,0.0014,0.6769,0.0481,0.9996,0.0001,0.5132,0.0692,0.9872,0.0015,CAE,HRH
CVAE-NWPTY,319,389,370,370,0.46,0.49,0.47582873,0.4506,0.5,0.5125,0.2959,0.4758,0.4752,0.4567,-0.0495,-0.05,-0.0494,0.1277,0.0018,0.0609,0.0001,0.4759,0.0436,1.0,0.0,0.4632,0.0461,1.0,0.0,0.4537,0.0418,1.0,0.0,0.4809,0.0479,1.0,0.0,0.4566,0.0333,1.0,0.0,CVAE,NWPTY
CVAE-FT,24,115,215,1094,0.1,0.9,0.16505525,0.1727,0.8358,0.0951,0.0678,0.7721,0.5026,0.127,0.0067,0.0,0.0085,0.1248,0.0021,0.0607,0.0002,0.7721,0.0167,1.0,0.0,0.1005,0.0752,1.0,0.0,0.1553,0.1105,1.0,0.0,0.4929,0.0357,1.0,0.0,0.1215,0.089,1.0,0.0,CVAE,FT
CVAE-NE,123,305,346,674,0.26,0.69,0.32389503,0.2874,0.6608,0.3115,0.1589,0.5504,0.4754,0.2742,-0.0505,-0.05,-0.0518,0.1352,0.0025,0.0615,0.0021,0.5504,0.0403,1.0,0.0,0.2622,0.0553,1.0,0.0,0.2892,0.0521,1.0,0.0,0.4534,0.0494,1.0,0.0,0.2734,0.0498,1.0,0.0,CVAE,NE
CVAE-SWF,80,247,313,808,0.2,0.77,0.27140884,0.2446,0.7208,0.2341,0.125,0.6133,0.4847,0.2222,-0.0325,-0.03,-0.0346,0.1253,0.0063,0.061,0.0003,0.6132,0.0388,1.0,0.0,0.2038,0.0408,1.0,0.0,0.2486,0.0486,1.0,0.0,0.492,0.0629,1.0,0.0,0.2224,0.0408,1.0,0.0,CVAE,SWF
CVAE-HRD,98,253,318,779,0.24,0.75,0.28729282,0.2792,0.7101,0.2452,0.1465,0.6057,0.4952,0.2555,-0.0101,-0.01,-0.0107,0.1246,0.005,0.0609,0.0001,0.6057,0.0243,1.0,0.0,0.2354,0.0354,1.0,0.0,0.28,0.0379,1.0,0.0,0.5039,0.0373,1.0,0.0,0.255,0.0346,1.0,0.0,CVAE,HRD
CVAE-HRH,182,305,333,628,0.35,0.67,0.35566298,0.3737,0.6535,0.3269,0.222,0.5594,0.5132,0.3633,0.0268,0.02,0.0272,0.1288,0.0035,0.061,0.0001,0.5594,0.0263,1.0,0.0,0.3533,0.0609,1.0,0.0,0.3721,0.0463,1.0,0.0,0.5317,0.0403,1.0,0.0,0.3618,0.0523,1.0,0.0,CVAE,HRH
Pretrained-BigEarth-NWPTY,496,167,193,592,0.72,0.78,0.47582873,0.7481,0.7541,0.22,0.5794,0.7514,0.7499,0.7337,0.5011,0.5,0.5022,0.7721,0.142,0.0608,0.0001,0.7514,0.039,0.9601,0.0031,0.7199,0.0595,0.9478,0.0063,0.7483,0.0394,0.9677,0.0037,0.8315,0.038,0.9946,0.0007,0.733,0.0457,0.9576,0.0034,Pretrained-BigEarth,NWPTY
Pretrained-BigEarth-FT,37,59,202,1150,0.15,0.95,0.16505525,0.3854,0.8506,0.0488,0.1242,0.8198,0.553,0.2209,0.1582,0.1,0.236,0.8232,0.0632,0.0608,0.0001,0.8197,0.0179,0.9471,0.0019,0.1543,0.0525,0.682,0.0112,0.3998,0.1189,0.9959,0.0045,0.6516,0.0624,0.9968,0.0004,0.2175,0.0651,0.8095,0.008,Pretrained-BigEarth,FT
Pretrained-BigEarth-NE,237,171,232,808,0.51,0.83,0.32389503,0.5809,0.7769,0.1747,0.3703,0.7217,0.6653,0.5405,0.344,0.34,0.3578,0.7999,0.1262,0.0609,0.0001,0.7216,0.0425,0.9516,0.0035,0.5053,0.0444,0.8913,0.0081,0.5879,0.0853,0.9563,0.0057,0.7535,0.0448,0.9889,0.001,0.5419,0.0557,0.9226,0.0058,Pretrained-BigEarth,NE
Pretrained-BigEarth-SWF,255,120,138,935,0.65,0.89,0.27140884,0.68,0.8714,0.1137,0.4971,0.8218,0.7676,0.6641,0.5432,0.54,0.5514,0.7436,0.0776,0.0609,0.0001,0.8218,0.0315,0.986,0.0015,0.6485,0.0993,0.9774,0.0061,0.6818,0.0603,0.9711,0.0043,0.8996,0.0245,0.9988,0.0002,0.6608,0.073,0.9742,0.0029,Pretrained-BigEarth,SWF
Pretrained-BigEarth-HRD,96,168,320,864,0.23,0.84,0.28729282,0.3636,0.7297,0.1628,0.1644,0.663,0.534,0.2824,0.0797,0.07,0.0933,0.9644,0.05,0.0609,0.0001,0.663,0.0211,0.925,0.0052,0.2307,0.0371,0.7698,0.0167,0.3655,0.053,0.9616,0.0065,0.5667,0.0479,0.9849,0.001,0.2817,0.04,0.855,0.0112,Pretrained-BigEarth,HRD
