id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,485,172,204,587,0.7,0.77,0.47582873,0.7382,0.7421,0.2266,0.5633,0.7403,0.7387,0.7207,0.4788,0.47,0.4803,1.4767,0.2505,0.0419,0.0003,0.7404,0.0271,1.0,0.0,0.7039,0.0329,1.0,0.0,0.7403,0.0379,1.0,0.0,0.8009,0.0267,1.0,0.0,0.7208,0.0259,1.0,0.0,PCA,NWPTY
PCA-FT,88,118,151,1091,0.37,0.9,0.16505525,0.4272,0.8784,0.0976,0.2465,0.8142,0.6353,0.3955,0.2876,0.27,0.3056,1.3386,0.1181,0.0419,0.0001,0.8142,0.0323,1.0,0.0,0.3687,0.1003,1.0,0.0,0.4344,0.1205,1.0,0.0,0.7561,0.0402,1.0,0.0,0.3951,0.0991,1.0,0.0,PCA,FT
PCA-NE,272,213,197,766,0.58,0.78,0.32389503,0.5608,0.7954,0.2176,0.3988,0.7169,0.6812,0.5702,0.3593,0.36,0.3562,3.123,0.7164,0.042,0.0001,0.7168,0.039,1.0,0.0,0.58,0.081,1.0,0.0,0.5634,0.0628,1.0,0.0,0.7638,0.0492,1.0,0.0,0.5692,0.0602,1.0,0.0,PCA,NE
PCA-SWF,302,113,91,942,0.77,0.89,0.27140884,0.7277,0.9119,0.1071,0.5968,0.8591,0.8307,0.7475,0.6504,0.66,0.6396,0.454,0.0903,0.0419,0.0001,0.8591,0.0258,1.0,0.0,0.7683,0.0579,1.0,0.0,0.7292,0.0524,1.0,0.0,0.9236,0.0268,1.0,0.0,0.7472,0.0475,1.0,0.0,PCA,SWF
PCA-HRD,160,231,256,801,0.38,0.78,0.28729282,0.4092,0.7578,0.2238,0.2473,0.6637,0.5804,0.3965,0.1639,0.16,0.167,0.6574,0.0191,0.0419,0.0001,0.6637,0.0251,1.0,0.0,0.3847,0.0556,1.0,0.0,0.4113,0.0446,1.0,0.0,0.6303,0.0481,1.0,0.0,0.3954,0.0427,1.0,0.0,PCA,HRD
PCA-HRH,244,230,271,703,0.47,0.75,0.35566298,0.5148,0.7218,0.2465,0.3275,0.654,0.6136,0.4934,0.2319,0.22,0.2366,1.0761,0.1274,0.042,0.0001,0.654,0.048,1.0,0.0,0.4736,0.0704,1.0,0.0,0.5166,0.0753,1.0,0.0,0.6579,0.0585,1.0,0.0,0.4931,0.0688,1.0,0.0,PCA,HRH
CAE-NWPTY,465,196,224,563,0.67,0.74,0.47582873,0.7035,0.7154,0.2582,0.5254,0.7099,0.7083,0.6889,0.4178,0.41,0.4189,3.9914,0.0688,0.0421,0.0002,0.71,0.029,0.9952,0.001,0.6749,0.0435,0.9923,0.0021,0.7054,0.0392,0.9976,0.0008,0.7761,0.029,0.9999,0.0001,0.6887,0.031,0.9949,0.001,CAE,NWPTY
CAE-FT,93,124,146,1085,0.39,0.9,0.16505525,0.4286,0.8814,0.1026,0.2562,0.8135,0.6433,0.4079,0.298,0.29,0.31,2.6829,0.0654,0.0419,0.0001,0.8136,0.025,0.9998,0.0004,0.3897,0.0736,0.9986,0.0021,0.4366,0.0826,1.0,0.0,0.7694,0.0418,1.0,0.0,0.4078,0.0639,0.9993,0.0011,CAE,FT
CAE-NE,273,203,196,776,0.58,0.79,0.32389503,0.5735,0.7984,0.2074,0.4062,0.7244,0.6874,0.5778,0.3733,0.37,0.3719,3.9761,0.1505,0.0419,0.0,0.7244,0.0354,0.9987,0.0008,0.5822,0.0725,0.9983,0.0019,0.5754,0.058,0.9976,0.0015,0.7832,0.0393,1.0,0.0,0.577,0.0561,0.998,0.0013,CAE,NE
CAE-SWF,296,76,97,979,0.75,0.93,0.27140884,0.7957,0.9099,0.072,0.6311,0.8805,0.8406,0.7739,0.6932,0.68,0.7056,1.3286,0.0749,0.042,0.0001,0.8805,0.0201,1.0,0.0,0.7531,0.0488,1.0,0.0,0.7968,0.0441,1.0,0.0,0.9378,0.0168,1.0,0.0,0.7735,0.0396,1.0,0.0,CAE,SWF
CAE-HRD,159,238,257,794,0.38,0.77,0.28729282,0.4005,0.7555,0.2306,0.2431,0.6581,0.5758,0.3911,0.1538,0.15,0.156,4.4831,0.1527,0.042,0.0001,0.6582,0.0317,0.9927,0.0015,0.3819,0.0867,0.9789,0.0047,0.3974,0.0657,0.9957,0.0013,0.634,0.0535,0.9995,0.0002,0.3885,0.0742,0.9872,0.0027,CAE,HRD
CAE-HRH,261,235,254,698,0.51,0.75,0.35566298,0.5262,0.7332,0.2519,0.348,0.6623,0.6275,0.5163,0.2572,0.26,0.2594,4.4243,0.063,0.0418,0.0001,0.6623,0.0423,0.991,0.0014,0.5066,0.0756,0.9771,0.0034,0.526,0.0631,0.9976,0.0015,0.6778,0.0456,0.9996,0.0001,0.515,0.0671,0.9872,0.002,CAE,HRH
CVAE-NWPTY,332,399,357,360,0.48,0.47,0.47582873,0.4542,0.5021,0.5257,0.3051,0.4779,0.4781,0.4676,-0.0438,-0.05,-0.0437,0.2839,0.0057,0.0418,0.0001,0.4779,0.0457,1.0,0.0,0.482,0.0488,1.0,0.0,0.457,0.0439,1.0,0.0,0.4812,0.048,1.0,0.0,0.4676,0.0362,1.0,0.0,CVAE,NWPTY
CVAE-FT,79,359,160,850,0.33,0.7,0.16505525,0.1804,0.8416,0.2969,0.1321,0.6416,0.5168,0.2334,0.0272,0.03,0.022,0.2449,0.0034,0.042,0.0001,0.6416,0.0362,1.0,0.0,0.3306,0.0824,1.0,0.0,0.1812,0.0368,1.0,0.0,0.5068,0.0386,1.0,0.0,0.2326,0.0465,1.0,0.0,CVAE,FT
CVAE-NE,159,405,310,574,0.34,0.59,0.32389503,0.2819,0.6493,0.4137,0.1819,0.5062,0.4627,0.3078,-0.0717,-0.07,-0.0688,0.2735,0.003,0.0419,0.0001,0.5062,0.036,1.0,0.0,0.3389,0.0455,1.0,0.0,0.2829,0.0403,1.0,0.0,0.4545,0.0481,1.0,0.0,0.3079,0.0408,1.0,0.0,CVAE,NE
CVAE-SWF,141,417,252,638,0.36,0.6,0.27140884,0.2527,0.7169,0.3953,0.1741,0.538,0.4818,0.2965,-0.0333,-0.04,-0.0304,0.2609,0.0053,0.042,0.0002,0.538,0.0508,1.0,0.0,0.359,0.0631,1.0,0.0,0.2547,0.0462,1.0,0.0,0.4956,0.0594,1.0,0.0,0.2974,0.0517,1.0,0.0,CVAE,SWF
CVAE-HRD,156,396,260,636,0.38,0.62,0.28729282,0.2826,0.7098,0.3837,0.1921,0.547,0.4956,0.3223,-0.0081,0.0,-0.0076,0.2594,0.0036,0.042,0.0003,0.5469,0.0291,1.0,0.0,0.375,0.0368,1.0,0.0,0.2836,0.0244,1.0,0.0,0.4985,0.0308,1.0,0.0,0.3222,0.025,1.0,0.0,CVAE,HRD
CVAE-HRH,229,377,286,556,0.44,0.6,0.35566298,0.3779,0.6603,0.4041,0.2567,0.5421,0.5203,0.4086,0.0394,0.04,0.0382,0.2655,0.0041,0.0419,0.0001,0.5421,0.0199,1.0,0.0,0.4447,0.0604,1.0,0.0,0.3769,0.0274,1.0,0.0,0.532,0.0381,1.0,0.0,0.4071,0.0396,1.0,0.0,CVAE,HRH
Pretrained-BigEarth-NWPTY,497,164,192,595,0.72,0.78,0.47582873,0.7519,0.756,0.2161,0.5826,0.7541,0.7526,0.7363,0.5066,0.5,0.5079,2.6395,0.037,0.0419,0.0001,0.7542,0.0408,0.9599,0.0033,0.7214,0.0601,0.9478,0.0065,0.7522,0.0426,0.9674,0.0038,0.8319,0.0382,0.9946,0.0007,0.7357,0.0473,0.9575,0.0036,Pretrained-BigEarth,NWPTY
Pretrained-BigEarth-FT,38,58,201,1151,0.16,0.95,0.16505525,0.3958,0.8513,0.048,0.1279,0.8211,0.5555,0.2269,0.1657,0.11,0.2471,2.5351,0.0537,0.0419,0.0002,0.8211,0.0153,0.9469,0.0028,0.1585,0.0609,0.6806,0.0172,0.4013,0.1258,0.9966,0.0034,0.6503,0.0565,0.9968,0.0004,0.2224,0.0745,0.8087,0.0121,Pretrained-BigEarth,FT
Pretrained-BigEarth-NE,236,171,233,808,0.5,0.83,0.32389503,0.5799,0.7762,0.1747,0.3688,0.721,0.6643,0.5388,0.342,0.33,0.3561,2.7673,0.0502,0.0419,0.0001,0.7209,0.0429,0.9511,0.0043,0.5031,0.0452,0.8896,0.0091,0.5864,0.0857,0.9564,0.0059,0.7539,0.0435,0.989,0.001,0.5402,0.0572,0.9218,0.0071,Pretrained-BigEarth,NE
Pretrained-BigEarth-SWF,257,123,136,932,0.65,0.88,0.27140884,0.6763,0.8727,0.1166,0.4981,0.8211,0.7687,0.6649,0.5431,0.53,0.549,2.6066,0.0643,0.0418,0.0001,0.8211,0.0284,0.9861,0.0018,0.6538,0.0786,0.9782,0.0065,0.6793,0.0556,0.9708,0.0042,0.8985,0.0244,0.9989,0.0002,0.6635,0.0567,0.9745,0.0034,Pretrained-BigEarth,SWF
Pretrained-BigEarth-HRD,96,169,320,863,0.23,0.84,0.28729282,0.3623,0.7295,0.1638,0.1641,0.6623,0.5335,0.2819,0.0784,0.07,0.0918,3.0396,0.0476,0.0418,0.0001,0.6623,0.0216,0.9248,0.0049,0.2307,0.0397,0.7684,0.0148,0.3638,0.0548,0.9622,0.0057,0.5686,0.0461,0.9848,0.001,0.2812,0.0428,0.8544,0.0104,Pretrained-BigEarth,HRD
Pretrained-BigEarth-HRH,210,215,305,718,0.41,0.77,0.35566298,0.4941,0.7019,0.2304,0.2877,0.6409,0.5887,0.4468,0.1864,0.18,0.196,3.0346,0.0562,0.0418,0.0001,0.6409,0.0331,0.9367,0.0035,0.4076,0.064,0.8662,0.0087,0.4998,0.0732,0.9515,0.0064,0.6656,0.0393,0.9848,0.0012,0.4454,0.0509,0.9068,0.0054,Pretrained-BigEarth,HRH
