id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,487,176,202,583,0.71,0.77,0.47582873,0.7345,0.7427,0.2319,0.563,0.739,0.7375,0.7204,0.4761,0.48,0.4772,1.479,0.2521,0.0422,0.0003,0.739,0.0266,1.0,0.0,0.7069,0.0338,1.0,0.0,0.7369,0.0385,1.0,0.0,0.8007,0.0266,1.0,0.0,0.7206,0.025,1.0,0.0,PCA,NWPTY
PCA-FT,109,169,130,1040,0.46,0.86,0.16505525,0.3921,0.8889,0.1398,0.2672,0.7935,0.6581,0.4217,0.2981,0.32,0.281,1.2988,0.137,0.0422,0.0002,0.7935,0.0258,1.0,0.0,0.4563,0.0532,1.0,0.0,0.3988,0.0556,1.0,0.0,0.7556,0.0403,1.0,0.0,0.4227,0.0406,1.0,0.0,PCA,FT
PCA-NE,286,231,183,748,0.61,0.76,0.32389503,0.5532,0.8034,0.236,0.4086,0.7141,0.6869,0.5801,0.3651,0.37,0.3566,3.1256,0.7173,0.042,0.0001,0.714,0.0367,1.0,0.0,0.6099,0.0677,1.0,0.0,0.5567,0.0567,1.0,0.0,0.7643,0.0497,1.0,0.0,0.5799,0.0489,1.0,0.0,PCA,NE
PCA-SWF,321,134,72,921,0.82,0.87,0.27140884,0.7055,0.9275,0.127,0.6091,0.8577,0.8449,0.7571,0.6608,0.69,0.633,0.4281,0.0778,0.0421,0.0001,0.8577,0.0231,1.0,0.0,0.8168,0.0493,1.0,0.0,0.7072,0.0434,1.0,0.0,0.9243,0.0263,1.0,0.0,0.7571,0.0378,1.0,0.0,PCA,SWF
PCA-HRD,183,262,233,770,0.44,0.75,0.28729282,0.4112,0.7677,0.2539,0.2699,0.6581,0.593,0.4251,0.1824,0.19,0.1789,0.676,0.0271,0.0423,0.0003,0.6582,0.0276,1.0,0.0,0.4401,0.0701,1.0,0.0,0.4127,0.049,1.0,0.0,0.6303,0.0489,1.0,0.0,0.4235,0.0501,1.0,0.0,PCA,HRD
PCA-HRH,262,250,253,683,0.51,0.73,0.35566298,0.5117,0.7297,0.268,0.3425,0.6526,0.6204,0.5102,0.2411,0.24,0.2414,1.0854,0.1265,0.0422,0.0002,0.6526,0.047,1.0,0.0,0.5085,0.0656,1.0,0.0,0.5133,0.0681,1.0,0.0,0.6569,0.0587,1.0,0.0,0.5102,0.0635,1.0,0.0,PCA,HRH
CAE-NWPTY,466,196,223,563,0.68,0.74,0.47582873,0.7039,0.7163,0.2582,0.5266,0.7106,0.7091,0.6899,0.4192,0.42,0.4202,3.9939,0.0792,0.0421,0.0001,0.7107,0.0303,0.9955,0.0011,0.6763,0.0463,0.994,0.0016,0.7058,0.0395,0.9966,0.0013,0.776,0.029,0.9999,0.0001,0.6896,0.0328,0.9953,0.0012,CAE,NWPTY
CAE-FT,108,166,131,1043,0.45,0.86,0.16505525,0.3942,0.8884,0.1373,0.2667,0.7949,0.6573,0.4211,0.2981,0.31,0.2826,2.9486,0.0711,0.0421,0.0001,0.7949,0.0302,0.9992,0.0005,0.4525,0.093,1.0,0.0,0.3968,0.0766,0.9954,0.0029,0.7676,0.0421,1.0,0.0,0.4211,0.0781,0.9977,0.0015,CAE,FT
CAE-NE,295,231,174,748,0.63,0.76,0.32389503,0.5608,0.8113,0.236,0.4214,0.7203,0.6965,0.593,0.3824,0.39,0.3721,4.0642,0.1766,0.0421,0.0001,0.7202,0.0348,0.9926,0.002,0.6291,0.0774,1.0,0.0,0.5616,0.05,0.9778,0.006,0.7825,0.0391,1.0,0.0,0.5918,0.0554,0.9888,0.003,CAE,NE
CAE-SWF,311,100,82,955,0.79,0.91,0.27140884,0.7567,0.9209,0.0948,0.6308,0.8743,0.8483,0.7736,0.687,0.7,0.6776,1.3493,0.0727,0.0421,0.0002,0.8743,0.0157,1.0,0.0,0.7913,0.0339,1.0,0.0,0.7585,0.0381,1.0,0.0,0.9379,0.0166,1.0,0.0,0.7738,0.0259,1.0,0.0,CAE,SWF
