id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,489,172,200,587,0.71,0.77,0.47582873,0.7398,0.7459,0.2266,0.5679,0.7431,0.7416,0.7244,0.4844,0.48,0.4857,1.2669,0.202,0.0418,0.0004,0.7431,0.0275,0.9992,0.0005,0.7098,0.034,0.9982,0.0011,0.7424,0.0412,1.0,0.0,0.8053,0.0258,1.0,0.0,0.7246,0.0261,0.9991,0.0006,PCA,NWPTY
PCA-FT,112,169,127,1040,0.47,0.86,0.16505525,0.3986,0.8912,0.1398,0.2745,0.7956,0.6644,0.4308,0.3087,0.33,0.2898,1.1713,0.0955,0.0419,0.0002,0.7956,0.0285,0.9992,0.0007,0.4688,0.0505,1.0,0.0,0.4061,0.0595,0.9954,0.0041,0.7601,0.0402,1.0,0.0,0.4324,0.0443,0.9977,0.0021,PCA,FT
PCA-NE,291,233,178,746,0.62,0.76,0.32389503,0.5553,0.8074,0.238,0.4145,0.7162,0.6912,0.5861,0.3725,0.38,0.3627,2.6885,0.5994,0.0417,0.0001,0.7161,0.0354,0.9986,0.0005,0.6205,0.0642,1.0,0.0,0.5587,0.0538,0.9958,0.0014,0.7713,0.0499,1.0,0.0,0.586,0.0458,0.9979,0.0007,PCA,NE
PCA-SWF,326,137,67,918,0.83,0.87,0.27140884,0.7041,0.932,0.1299,0.6151,0.8591,0.8498,0.7617,0.6671,0.7,0.6361,0.3976,0.0694,0.0419,0.0004,0.8591,0.0229,1.0,0.0,0.8294,0.0525,1.0,0.0,0.706,0.0424,1.0,0.0,0.9264,0.0262,1.0,0.0,0.7616,0.037,1.0,0.0,PCA,SWF
PCA-HRD,187,266,229,766,0.45,0.74,0.28729282,0.4128,0.7698,0.2578,0.2742,0.6581,0.5959,0.4304,0.1872,0.19,0.1826,0.5737,0.0208,0.0418,0.0003,0.6582,0.0286,0.9998,0.0004,0.4497,0.0701,1.0,0.0,0.4144,0.0495,0.9992,0.0012,0.6336,0.0484,1.0,0.0,0.429,0.0504,0.9996,0.0006,PCA,HRD
PCA-HRH,263,257,252,676,0.51,0.72,0.35566298,0.5058,0.7284,0.2755,0.3407,0.6485,0.6176,0.5082,0.2347,0.23,0.2342,0.9893,0.1307,0.0417,0.0001,0.6484,0.0494,1.0,0.0,0.5104,0.0746,1.0,0.0,0.5062,0.071,1.0,0.0,0.6622,0.0578,1.0,0.0,0.5077,0.0705,1.0,0.0,PCA,HRH
CAE-NWPTY,474,191,215,568,0.69,0.75,0.47582873,0.7128,0.7254,0.2516,0.5386,0.7196,0.7182,0.7001,0.4373,0.44,0.4382,2.6038,0.0291,0.0416,0.0001,0.7197,0.0324,0.9813,0.0028,0.688,0.0362,0.9782,0.0038,0.7158,0.0475,0.9824,0.0037,0.7873,0.0297,0.9987,0.0003,0.7004,0.0302,0.9803,0.0029,CAE,NWPTY
CAE-FT,115,173,124,1036,0.48,0.86,0.16505525,0.3993,0.8931,0.1431,0.2791,0.7949,0.669,0.4364,0.3144,0.34,0.2924,2.3297,0.0643,0.0418,0.0002,0.7949,0.0298,0.9955,0.0016,0.4817,0.0931,1.0,0.0,0.4022,0.0728,0.9734,0.0093,0.7723,0.0408,1.0,0.0,0.4363,0.075,0.9865,0.0048,CAE,FT
CAE-NE,302,240,167,739,0.64,0.75,0.32389503,0.5572,0.8157,0.2451,0.426,0.7189,0.6994,0.5974,0.3856,0.39,0.3729,2.7653,0.0969,0.0416,0.0001,0.7189,0.0327,0.9758,0.0022,0.6441,0.0801,0.9998,0.0007,0.5571,0.0459,0.9308,0.0061,0.7906,0.0395,0.9993,0.0002,0.5961,0.055,0.964,0.0031,CAE,NE
CAE-SWF,315,97,78,958,0.8,0.91,0.27140884,0.7646,0.9247,0.0919,0.6429,0.8791,0.8548,0.7826,0.6994,0.71,0.6893,1.1447,0.0498,0.0416,0.0001,0.8791,0.0146,0.9998,0.0003,0.8016,0.0314,1.0,0.0,0.7663,0.0362,0.9994,0.0011,0.9395,0.016,1.0,0.0,0.7828,0.0233,0.9997,0.0006,CAE,SWF
CAE-HRD,191,284,225,748,0.46,0.72,0.28729282,0.4021,0.7688,0.2752,0.2729,0.6485,0.592,0.4287,0.1773,0.18,0.1709,3.2705,0.071,0.0416,0.0001,0.6485,0.0286,0.9738,0.0033,0.4592,0.0928,0.9952,0.0023,0.3989,0.0511,0.9204,0.0104,0.6368,0.0542,0.9979,0.0005,0.4259,0.0679,0.9563,0.0052,CAE,HRD
CAE-HRH,286,259,229,674,0.56,0.72,0.35566298,0.5248,0.7464,0.2776,0.3695,0.663,0.6389,0.5396,0.2744,0.28,0.2712,3.1364,0.0409,0.0417,0.0001,0.663,0.0379,0.979,0.0017,0.5551,0.0647,0.981,0.0025,0.5257,0.0517,0.9607,0.004,0.6846,0.0455,0.9979,0.0004,0.5389,0.0536,0.9708,0.0023,CAE,HRH
