id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,487,171,202,588,0.71,0.77,0.47582873,0.7401,0.7443,0.2253,0.5663,0.7424,0.7408,0.7231,0.483,0.48,0.4844,1.4174,0.2378,0.042,0.0004,0.7425,0.0275,1.0,0.0,0.7069,0.0338,1.0,0.0,0.7424,0.0393,1.0,0.0,0.8025,0.0263,1.0,0.0,0.7232,0.0264,1.0,0.0,PCA,NWPTY
PCA-FT,86,117,153,1092,0.36,0.9,0.16505525,0.4236,0.8771,0.0968,0.2416,0.8135,0.6315,0.3891,0.2813,0.26,0.3007,1.299,0.1072,0.042,0.0001,0.8136,0.0295,1.0,0.0,0.3603,0.0921,1.0,0.0,0.4317,0.1119,1.0,0.0,0.7577,0.0395,1.0,0.0,0.3886,0.0883,1.0,0.0,PCA,FT
PCA-NE,272,209,197,770,0.58,0.79,0.32389503,0.5655,0.7963,0.2135,0.4012,0.7196,0.6832,0.5726,0.3641,0.37,0.3618,2.9982,0.6842,0.0419,0.0002,0.7195,0.0405,1.0,0.0,0.58,0.0804,1.0,0.0,0.5681,0.0641,1.0,0.0,0.7662,0.0498,1.0,0.0,0.5717,0.0614,1.0,0.0,PCA,NE
PCA-SWF,302,113,91,942,0.77,0.89,0.27140884,0.7277,0.9119,0.1071,0.5968,0.8591,0.8307,0.7475,0.6504,0.66,0.6396,0.4462,0.0852,0.042,0.0001,0.8591,0.0258,1.0,0.0,0.7683,0.0579,1.0,0.0,0.7292,0.0524,1.0,0.0,0.9241,0.0268,1.0,0.0,0.7472,0.0475,1.0,0.0,PCA,SWF
PCA-HRD,162,225,254,807,0.39,0.78,0.28729282,0.4186,0.7606,0.218,0.2527,0.6692,0.5857,0.4035,0.1753,0.17,0.1792,0.6279,0.0178,0.0422,0.0002,0.6692,0.0207,1.0,0.0,0.3895,0.0575,1.0,0.0,0.42,0.0383,1.0,0.0,0.6313,0.0484,1.0,0.0,0.4019,0.0411,1.0,0.0,PCA,HRD
PCA-HRH,243,225,272,708,0.47,0.76,0.35566298,0.5192,0.7224,0.2412,0.3284,0.6568,0.6153,0.4944,0.2361,0.23,0.2416,1.0467,0.1271,0.0421,0.0001,0.6567,0.0505,1.0,0.0,0.4716,0.0737,1.0,0.0,0.5208,0.0796,1.0,0.0,0.659,0.0588,1.0,0.0,0.4941,0.0732,1.0,0.0,PCA,HRH
CAE-NWPTY,467,191,222,568,0.68,0.75,0.47582873,0.7097,0.719,0.2516,0.5307,0.7148,0.7131,0.6934,0.4274,0.43,0.4287,3.4699,0.0561,0.042,0.0002,0.7148,0.0292,0.992,0.0018,0.6778,0.036,0.9876,0.0026,0.7117,0.0411,0.9956,0.0019,0.7798,0.0297,0.9997,0.0001,0.6935,0.0292,0.9916,0.0019,CAE,NWPTY
CAE-FT,93,124,146,1085,0.39,0.9,0.16505525,0.4286,0.8814,0.1026,0.2562,0.8135,0.6433,0.4079,0.298,0.29,0.31,2.4675,0.0678,0.0421,0.0002,0.8136,0.0263,0.9995,0.0004,0.3897,0.0736,0.9972,0.0023,0.4376,0.0858,1.0,0.0,0.7707,0.0406,1.0,0.0,0.4081,0.0652,0.9986,0.0011,CAE,FT
CAE-NE,274,201,195,778,0.58,0.79,0.32389503,0.5768,0.7996,0.2053,0.409,0.7265,0.6895,0.5805,0.3777,0.37,0.3764,3.5196,0.1178,0.042,0.0003,0.7265,0.0333,0.9975,0.0012,0.5844,0.068,0.9957,0.0018,0.5789,0.0553,0.9965,0.0028,0.7851,0.0393,0.9999,0.0,0.5798,0.0521,0.9961,0.0019,CAE,NE
CAE-SWF,296,74,97,981,0.75,0.93,0.27140884,0.8,0.91,0.0701,0.6338,0.8819,0.8415,0.7759,0.6964,0.68,0.71,1.2701,0.0714,0.0419,0.0002,0.8819,0.02,1.0,0.0,0.7531,0.0488,1.0,0.0,0.8016,0.0466,1.0,0.0,0.9383,0.0167,1.0,0.0,0.7756,0.0389,1.0,0.0,CAE,SWF
