id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std
PCA-CS,0,1,12,1435,0.0,1.0,0.00828729,0.0,0.9917,0.0007,0.0,0.991,0.4997,0.0,-0.0024,0.0,-0.0083,0.6043,0.1075,0.0427,0.0006,0.991,0.0017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6687,0.0384,1.0,0.0,0.0,0.0,1.0,0.0
PCA-TYW,24,29,38,1357,0.39,0.98,0.04281768,0.4528,0.9728,0.0209,0.2637,0.9537,0.6831,0.4174,0.3948,0.37,0.4256,0.5755,0.1694,0.0553,0.02,0.9537,0.0083,1.0,0.0,0.3859,0.1451,1.0,0.0,0.4524,0.1124,1.0,0.0,0.9203,0.0252,1.0,0.0,0.409,0.1219,1.0,0.0
PCA-NWPTY,487,172,202,587,0.71,0.77,0.47582873,0.739,0.744,0.2266,0.5656,0.7417,0.7401,0.7226,0.4816,0.48,0.483,1.2447,0.3439,0.044,0.0001,0.7417,0.0275,1.0,0.0,0.7069,0.0411,1.0,0.0,0.7408,0.0368,1.0,0.0,0.8015,0.0147,1.0,0.0,0.7224,0.0295,1.0,0.0
PCA-FT,84,109,155,1100,0.35,0.91,0.16505525,0.4352,0.8765,0.0902,0.2414,0.8177,0.6307,0.3889,0.2854,0.26,0.3117,1.0542,0.2245,0.0438,0.0004,0.8177,0.0175,1.0,0.0,0.3514,0.0513,1.0,0.0,0.4367,0.0636,1.0,0.0,0.7534,0.0266,1.0,0.0,0.3888,0.055,1.0,0.0
PCA-NE,273,214,196,765,0.58,0.78,0.32389503,0.5606,0.796,0.2186,0.3997,0.7169,0.6817,0.5711,0.36,0.36,0.3566,2.4129,0.7732,0.0442,0.0006,0.7168,0.035,1.0,0.0,0.5821,0.0594,1.0,0.0,0.5624,0.0517,1.0,0.0,0.769,0.0397,1.0,0.0,0.5709,0.0496,1.0,0.0
PCA-SWF,310,121,83,934,0.79,0.89,0.27140884,0.7193,0.9184,0.1147,0.6031,0.8591,0.8371,0.7524,0.6556,0.68,0.6377,0.4476,0.1125,0.0438,0.0005,0.8591,0.0288,1.0,0.0,0.789,0.0636,1.0,0.0,0.7204,0.0508,1.0,0.0,0.9243,0.0229,1.0,0.0,0.7523,0.0505,1.0,0.0
PCA-HRD,169,217,247,815,0.41,0.79,0.28729282,0.4378,0.7674,0.2103,0.267,0.6796,0.598,0.4214,0.2006,0.2,0.2052,0.6102,0.0464,0.054,0.0213,0.6796,0.0205,1.0,0.0,0.4063,0.0733,1.0,0.0,0.4353,0.0408,1.0,0.0,0.6359,0.0359,1.0,0.0,0.4193,0.0554,1.0,0.0
PCA-HRH,238,237,277,696,0.46,0.75,0.35566298,0.5011,0.7153,0.254,0.3165,0.645,0.6041,0.4808,0.2122,0.21,0.2164,0.9857,0.1813,0.0436,0.0002,0.645,0.0273,1.0,0.0,0.4621,0.0482,1.0,0.0,0.5013,0.0409,1.0,0.0,0.6563,0.016,1.0,0.0,0.4803,0.0417,1.0,0.0
CAE-CS,0,2,12,1434,0.0,1.0,0.00828729,0.0,0.9917,0.0014,0.0,0.9903,0.4993,0.0,-0.0034,0.0,-0.0083,0.7578,0.023,0.047,0.0059,0.9903,0.0026,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8968,0.0616,1.0,0.0,0.0,0.0,1.0,0.0
CAE-TYW,22,13,40,1373,0.35,0.99,0.04281768,0.6286,0.9717,0.0094,0.2933,0.9634,0.6727,0.4536,0.4554,0.34,0.6003,0.5881,0.0442,0.0443,0.0002,0.9634,0.0064,1.0,0.0,0.3551,0.1516,1.0,0.0,0.6043,0.121,1.0,0.0,0.9225,0.0349,1.0,0.0,0.4395,0.148,1.0,0.0
CAE-NWPTY,468,207,221,552,0.68,0.73,0.47582873,0.6933,0.7141,0.2727,0.5223,0.7044,0.7033,0.6862,0.407,0.41,0.4074,3.0773,0.0724,0.0438,0.0002,0.7044,0.0274,0.9964,0.0014,0.6792,0.0127,0.9938,0.0018,0.695,0.0378,0.9985,0.0014,0.7733,0.0219,0.9999,0.0,0.6867,0.0228,0.9962,0.0015
CAE-FT,90,107,149,1102,0.38,0.91,0.16505525,0.4569,0.8809,0.0885,0.2601,0.8232,0.644,0.4128,0.3119,0.29,0.3378,2.1978,0.0826,0.0438,0.0001,0.8232,0.0195,0.9997,0.0004,0.3765,0.0451,0.9979,0.0026,0.4604,0.0686,1.0,0.0,0.7706,0.0316,1.0,0.0,0.4135,0.0528,0.999,0.0013
