id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std
PCA-CS,1,1,11,1435,0.08,1.0,0.00828729,0.5,0.9924,0.0007,0.0769,0.9917,0.5413,0.1429,0.2017,0.08,0.4924,0.1155,0.0082,0.0251,0.0027,0.9917,0.0028,1.0,0.0,0.05,0.15,1.0,0.0,0.05,0.15,1.0,0.0,0.8595,0.0871,1.0,0.0,0.05,0.15,1.0,0.0
PCA-TYW,25,15,37,1371,0.4,0.99,0.04281768,0.625,0.9737,0.0108,0.3247,0.9641,0.6962,0.4902,0.4847,0.39,0.5987,0.1096,0.004,0.0239,0.0005,0.9641,0.0091,1.0,0.0,0.4024,0.1821,1.0,0.0,0.6539,0.2339,1.0,0.0,0.9374,0.0376,1.0,0.0,0.4777,0.1551,1.0,0.0
PCA-NWPTY,489,179,200,580,0.71,0.76,0.47582873,0.732,0.7436,0.2358,0.5634,0.7383,0.7369,0.7207,0.4748,0.47,0.4756,0.1872,0.0102,0.0236,0.0005,0.7383,0.0288,1.0,0.0,0.7098,0.0332,1.0,0.0,0.7347,0.041,1.0,0.0,0.803,0.0264,1.0,0.0,0.721,0.0262,1.0,0.0
PCA-FT,79,96,160,1113,0.33,0.92,0.16505525,0.4514,0.8743,0.0794,0.2358,0.8232,0.6256,0.3816,0.286,0.25,0.3257,0.159,0.0068,0.0236,0.0005,0.8232,0.023,1.0,0.0,0.3312,0.0987,1.0,0.0,0.4492,0.1047,1.0,0.0,0.7602,0.0437,1.0,0.0,0.3783,0.096,1.0,0.0
PCA-NE,259,197,210,782,0.55,0.8,0.32389503,0.568,0.7883,0.2012,0.3889,0.7189,0.6755,0.56,0.3536,0.35,0.3563,0.2057,0.0155,0.0235,0.0005,0.7189,0.04,1.0,0.0,0.5523,0.0786,1.0,0.0,0.5708,0.0672,1.0,0.0,0.7674,0.05,1.0,0.0,0.5591,0.0627,1.0,0.0
PCA-SWF,281,91,112,964,0.72,0.91,0.27140884,0.7554,0.8959,0.0863,0.5806,0.8598,0.8144,0.7346,0.6399,0.63,0.6513,0.1418,0.0081,0.0236,0.0005,0.8598,0.0196,1.0,0.0,0.7151,0.0527,1.0,0.0,0.7562,0.0418,1.0,0.0,0.9329,0.0192,1.0,0.0,0.7342,0.0402,1.0,0.0
PCA-HRD,156,210,260,822,0.38,0.8,0.28729282,0.4262,0.7597,0.2035,0.2492,0.6754,0.5858,0.399,0.1786,0.18,0.1859,0.1921,0.0103,0.0235,0.0005,0.6754,0.0202,1.0,0.0,0.3751,0.0602,1.0,0.0,0.427,0.0404,1.0,0.0,0.6299,0.0508,1.0,0.0,0.3972,0.0455,1.0,0.0
PCA-HRH,235,221,280,712,0.46,0.76,0.35566298,0.5154,0.7177,0.2369,0.3193,0.654,0.6097,0.484,0.2262,0.22,0.2331,0.2078,0.0104,0.0237,0.0005,0.6539,0.049,1.0,0.0,0.4561,0.0667,1.0,0.0,0.5177,0.0784,1.0,0.0,0.656,0.0584,1.0,0.0,0.4841,0.0687,1.0,0.0
CAE-CS,0,3,12,1433,0.0,1.0,0.00828729,0.0,0.9917,0.0021,0.0,0.9896,0.499,0.0,-0.0042,0.0,-0.0083,0.2495,0.0362,0.024,0.0,0.9896,0.0035,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8978,0.0807,1.0,0.0,0.0,0.0,1.0,0.0
CAE-TYW,24,17,38,1369,0.39,0.99,0.04281768,0.5854,0.973,0.0123,0.3038,0.962,0.6874,0.466,0.4575,0.38,0.5584,0.3011,0.0217,0.0237,0.0005,0.962,0.0088,1.0,0.0,0.3857,0.1948,1.0,0.0,0.5725,0.1669,1.0,0.0,0.9222,0.0546,1.0,0.0,0.4476,0.1683,1.0,0.0
CAE-NWPTY,464,194,225,565,0.67,0.74,0.47582873,0.7052,0.7152,0.2556,0.5255,0.7106,0.7089,0.6889,0.4191,0.41,0.4204,0.8168,0.122,0.0239,0.0003,0.7107,0.0289,0.995,0.0012,0.6734,0.0463,0.9919,0.0026,0.7071,0.039,0.9976,0.0008,0.7756,0.0283,0.9999,0.0,0.6886,0.032,0.9947,0.0013
CAE-FT,96,123,143,1086,0.4,0.9,0.16505525,0.4384,0.8836,0.1017,0.2652,0.8163,0.65,0.4192,0.3108,0.3,0.322,0.7335,0.1153,0.0235,0.0005,0.8163,0.0277,0.9998,0.0003,0.4024,0.0818,0.9991,0.0019,0.4469,0.0908,1.0,0.0,0.7695,0.0407,1.0,0.0,0.4193,0.073,0.9995,0.0009
CAE-NE,275,201,194,778,0.59,0.79,0.32389503,0.5777,0.8004,0.2053,0.4104,0.7272,0.6905,0.582,0.3796,0.38,0.3781,0.9091,0.0517,0.0237,0.0005,0.7271,0.0334,0.9988,0.0008,0.5864,0.0561,0.9983,0.0015,0.5803,0.0562,0.9979,0.0013,0.7845,0.0377,1.0,0.0,0.5819,0.048,0.9981,0.0012
CAE-SWF,290,81,103,974,0.74,0.92,0.27140884,0.7817,0.9044,0.0768,0.6118,0.8729,0.8306,0.7592,0.6735,0.66,0.6861,0.667,0.0779,0.0235,0.0005,0.8729,0.0179,1.0,0.0,0.7381,0.0556,1.0,0.0,0.7835,0.0392,1.0,0.0,0.9389,0.0146,1.0,0.0,0.7586,0.0361,1.0,0.0
CAE-HRD,156,234,260,798,0.38,0.77,0.28729282,0.4,0.7543,0.2267,0.24,0.6588,0.5741,0.3871,0.1512,0.15,0.1543,0.9996,0.1034,0.0237,0.0005,0.6589,0.032,0.9936,0.0017,0.3745,0.0967,0.9816,0.0045,0.3952,0.0705,0.9959,0.0018,0.6336,0.0496,0.9996,0.0002,0.3832,0.0822,0.9887,0.003
CAE-HRH,261,240,254,693,0.51,0.74,0.35566298,0.521,0.7318,0.2572,0.3457,0.6588,0.6248,0.5138,0.2511,0.25,0.2528,0.9402,0.0847,0.0237,0.0005,0.6589,0.0472,0.991,0.001,0.5066,0.0726,0.9769,0.0027,0.5215,0.07,0.9978,0.0014,0.6771,0.0481,0.9996,0.0001,0.5132,0.0692,0.9872,0.0015
CVAE-CS,0,0,12,1436,0.0,1.0,0.00828729,,0.9917,0.0,0.0,0.9917,0.5,0.0,,0.0,,0.0768,0.0069,0.0239,0.0003,0.9917,0.0028,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3791,0.2436,1.0,0.0,0.0,0.0,1.0,0.0
CVAE-TYW,0,0,62,1386,0.0,1.0,0.04281768,,0.9572,0.0,0.0,0.9572,0.5,0.0,,0.0,,0.0746,0.0035,0.0239,0.0007,0.9572,0.0027,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4183,0.0884,1.0,0.0,0.0,0.0,1.0,0.0
CVAE-NWPTY,319,389,370,370,0.46,0.49,0.47582873,0.4506,0.5,0.5125,0.2959,0.4758,0.4752,0.4567,-0.0495,-0.05,-0.0494,0.08,0.0024,0.0237,0.0006,0.4759,0.0436,1.0,0.0,0.4632,0.0461,1.0,0.0,0.4537,0.0418,1.0,0.0,0.4809,0.0479,1.0,0.0,0.4566,0.0333,1.0,0.0
CVAE-FT,24,115,215,1094,0.1,0.9,0.16505525,0.1727,0.8358,0.0951,0.0678,0.7721,0.5026,0.127,0.0067,0.0,0.0085,0.0791,0.002,0.0234,0.0005,0.7721,0.0167,1.0,0.0,0.1005,0.0752,1.0,0.0,0.1553,0.1105,1.0,0.0,0.4929,0.0357,1.0,0.0,0.1215,0.089,1.0,0.0
CVAE-NE,123,305,346,674,0.26,0.69,0.32389503,0.2874,0.6608,0.3115,0.1589,0.5504,0.4754,0.2742,-0.0505,-0.05,-0.0518,0.0857,0.0043,0.0234,0.0005,0.5504,0.0403,1.0,0.0,0.2622,0.0553,1.0,0.0,0.2892,0.0521,1.0,0.0,0.4534,0.0494,1.0,0.0,0.2734,0.0498,1.0,0.0
CVAE-SWF,80,247,313,808,0.2,0.77,0.27140884,0.2446,0.7208,0.2341,0.125,0.6133,0.4847,0.2222,-0.0325,-0.03,-0.0346,0.0828,0.0062,0.0236,0.0005,0.6132,0.0388,1.0,0.0,0.2038,0.0408,1.0,0.0,0.2486,0.0486,1.0,0.0,0.492,0.0629,1.0,0.0,0.2224,0.0408,1.0,0.0
CVAE-HRD,98,253,318,779,0.24,0.75,0.28729282,0.2792,0.7101,0.2452,0.1465,0.6057,0.4952,0.2555,-0.0101,-0.01,-0.0107,0.0784,0.0031,0.0236,0.0007,0.6057,0.0243,1.0,0.0,0.2354,0.0354,1.0,0.0,0.28,0.0379,1.0,0.0,0.5039,0.0373,1.0,0.0,0.255,0.0346,1.0,0.0
CVAE-HRH,182,305,333,628,0.35,0.67,0.35566298,0.3737,0.6535,0.3269,0.222,0.5594,0.5132,0.3633,0.0268,0.02,0.0272,0.0792,0.003,0.0237,0.0006,0.5594,0.0263,1.0,0.0,0.3533,0.0609,1.0,0.0,0.3721,0.0463,1.0,0.0,0.5317,0.0403,1.0,0.0,0.3618,0.0523,1.0,0.0
Pretrained-BigEarth-CS,0,0,12,1436,0.0,1.0,0.00828729,,0.9917,0.0,0.0,0.9917,0.5,0.0,,0.0,,0.1552,0.0198,0.024,0.0006,0.9917,0.0028,0.9985,0.0007,0.0,0.0,0.8136,0.0848,0.0,0.0,1.0,0.0,0.9494,0.0667,1.0,0.0,0.0,0.0,0.8949,0.0502
Pretrained-BigEarth-TYW,10,10,52,1376,0.16,0.99,0.04281768,0.5,0.9636,0.0072,0.1389,0.9572,0.577,0.2439,0.2673,0.15,0.4636,0.2576,0.0373,0.0241,0.0003,0.9572,0.0086,0.9962,0.0011,0.1619,0.1787,0.9121,0.0261,0.2917,0.34,1.0,0.0,0.9045,0.0735,1.0,0.0,0.2067,0.2318,0.9539,0.0142
Pretrained-BigEarth-NWPTY,496,167,193,592,0.72,0.78,0.47582873,0.7481,0.7541,0.22,0.5794,0.7514,0.7499,0.7337,0.5011,0.5,0.5022,0.4937,0.062,0.0238,0.0004,0.7514,0.039,0.96,0.0032,0.7199,0.0595,0.9478,0.0063,0.7483,0.0394,0.9676,0.0038,0.8315,0.038,0.9946,0.0007,0.733,0.0457,0.9575,0.0034
Pretrained-BigEarth-FT,37,59,202,1150,0.15,0.95,0.16505525,0.3854,0.8506,0.0488,0.1242,0.8198,0.553,0.2209,0.1582,0.1,0.236,0.5264,0.043,0.0239,0.0003,0.8197,0.0179,0.9472,0.0018,0.1543,0.0525,0.6829,0.0107,0.3998,0.1189,0.996,0.0044,0.6517,0.0622,0.9968,0.0004,0.2175,0.0651,0.8102,0.0076
Pretrained-BigEarth-NE,237,171,232,808,0.51,0.83,0.32389503,0.5809,0.7769,0.1747,0.3703,0.7217,0.6653,0.5405,0.344,0.34,0.3578,0.5182,0.0751,0.0236,0.0005,0.7216,0.0425,0.9517,0.0035,0.5053,0.0444,0.8915,0.0082,0.5879,0.0853,0.9563,0.0056,0.7535,0.0447,0.9889,0.001,0.5419,0.0557,0.9227,0.0058
Pretrained-BigEarth-SWF,255,122,138,933,0.65,0.88,0.27140884,0.6764,0.8711,0.1156,0.4951,0.8204,0.7666,0.6623,0.5403,0.53,0.5475,0.4946,0.0209,0.0237,0.0005,0.8204,0.0296,0.986,0.0015,0.6485,0.0993,0.9774,0.0061,0.6778,0.0546,0.9714,0.0041,0.8996,0.0246,0.9988,0.0002,0.6589,0.0708,0.9743,0.0029
Pretrained-BigEarth-HRD,96,168,320,864,0.23,0.84,0.28729282,0.3636,0.7297,0.1628,0.1644,0.663,0.534,0.2824,0.0797,0.07,0.0933,0.6227,0.0154,0.0237,0.0005,0.663,0.0211,0.9251,0.0052,0.2307,0.0371,0.77,0.0168,0.3655,0.053,0.9617,0.0065,0.5667,0.0478,0.9849,0.001,0.2817,0.04,0.8551,0.0112
Pretrained-BigEarth-HRH,208,214,307,719,0.4,0.77,0.35566298,0.4929,0.7008,0.2294,0.2853,0.6402,0.5873,0.444,0.1838,0.17,0.1937,0.4518,0.0949,0.0236,0.0005,0.6402,0.0339,0.9367,0.0036,0.4037,0.062,0.866,0.0094,0.4986,0.0742,0.9517,0.0064,0.665,0.0398,0.9848,0.0012,0.4428,0.0507,0.9068,0.0056
Pretrained-ImageNet-CS,2,1,10,1435,0.17,1.0,0.00828729,0.6667,0.9931,0.0007,0.1538,0.9924,0.583,0.2667,0.3309,0.17,0.6598,0.258,0.0236,0.0238,0.0004,0.9924,0.0037,1.0,0.0,0.15,0.3202,1.0,0.0,0.2,0.4,1.0,0.0,0.9501,0.076,1.0,0.0,0.1667,0.3416,1.0,0.0
Pretrained-ImageNet-TYW,22,21,40,1365,0.35,0.98,0.04281768,0.5116,0.9715,0.0152,0.2651,0.9579,0.6698,0.419,0.4051,0.33,0.4831,0.4684,0.0477,0.024,0.0004,0.9579,0.0143,1.0,0.0,0.3548,0.2189,1.0,0.0,0.5888,0.3171,1.0,0.0,0.9125,0.0545,1.0,0.0,0.3972,0.2089,1.0,0.0
Pretrained-ImageNet-NWPTY,536,132,153,627,0.78,0.83,0.47582873,0.8024,0.8038,0.1739,0.6529,0.8032,0.802,0.79,0.6051,0.61,0.6062,1.0114,0.0618,0.0237,0.0005,0.8032,0.0242,0.9949,0.0007,0.7779,0.0576,0.9902,0.0013,0.8046,0.0347,0.999,0.0011,0.8878,0.0228,0.9999,0.0,0.7892,0.0303,0.9946,0.0007
Pretrained-ImageNet-FT,57,121,182,1088,0.24,0.9,0.16505525,0.3202,0.8567,0.1001,0.1583,0.7907,0.5692,0.2734,0.1565,0.14,0.1769,1.0395,0.192,0.0239,0.0003,0.7907,0.0316,0.9901,0.0013,0.2384,0.0587,0.9419,0.0081,0.3379,0.1213,0.998,0.0024,0.6959,0.0567,0.9995,0.0002,0.2754,0.0721,0.9691,0.0042
Pretrained-ImageNet-NE,240,192,229,787,0.51,0.8,0.32389503,0.5556,0.7746,0.1961,0.3631,0.7093,0.6578,0.5327,0.3228,0.31,0.3302,1.2399,0.0998,0.024,0.0,0.7092,0.0456,0.9833,0.0024,0.5118,0.0599,0.9652,0.0046,0.5622,0.0817,0.9831,0.0037,0.7426,0.0495,0.9987,0.0002,0.5336,0.0609,0.9741,0.0037
Pretrained-ImageNet-SWF,268,116,125,939,0.68,0.89,0.27140884,0.6979,0.8825,0.11,0.5265,0.8336,0.786,0.6898,0.5762,0.57,0.5804,0.9874,0.115,0.0238,0.0004,0.8336,0.0309,0.9992,0.0006,0.6821,0.0769,0.9992,0.0013,0.7012,0.067,0.9977,0.0017,0.9061,0.0266,1.0,0.0,0.689,0.0599,0.9984,0.0012
Pretrained-ImageNet-HRD,130,236,286,796,0.31,0.77,0.28729282,0.3552,0.7357,0.2287,0.1994,0.6395,0.5419,0.3325,0.0873,0.08,0.0909,1.4036,0.0745,0.0237,0.0005,0.6395,0.0369,0.9749,0.0026,0.3125,0.0556,0.9274,0.007,0.3579,0.0642,0.9844,0.0034,0.5607,0.0474,0.9976,0.0005,0.3324,0.0562,0.955,0.0047
Pretrained-ImageNet-HRH,225,250,290,683,0.44,0.73,0.35566298,0.4737,0.702,0.268,0.2941,0.6271,0.5845,0.4545,0.1723,0.17,0.1757,1.364,0.0786,0.0237,0.0005,0.6271,0.0339,0.9753,0.0033,0.4368,0.0759,0.9517,0.0063,0.4741,0.0518,0.9783,0.0067,0.6235,0.0612,0.9977,0.0005,0.4524,0.0574,0.9648,0.0048
