id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std
PCA-CS,0,1,12,1435,0.0,1.0,0.00828729,0.0,0.9917,0.0007,0.0,0.991,0.4997,0.0,-0.0024,0.0,-0.0083,0.6213,0.1134,0.0435,0.0006,0.991,0.0017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6667,0.0363,1.0,0.0,0.0,0.0,1.0,0.0
PCA-TYW,24,29,38,1357,0.39,0.98,0.04281768,0.4528,0.9728,0.0209,0.2637,0.9537,0.6831,0.4174,0.3948,0.37,0.4256,0.5275,0.1582,0.0437,0.0001,0.9537,0.0083,1.0,0.0,0.3859,0.1451,1.0,0.0,0.4524,0.1124,1.0,0.0,0.9196,0.0249,1.0,0.0,0.409,0.1219,1.0,0.0
PCA-NWPTY,488,177,201,582,0.71,0.77,0.47582873,0.7338,0.7433,0.2332,0.5635,0.739,0.7375,0.7208,0.4761,0.48,0.4771,1.1852,0.3123,0.0433,0.0002,0.739,0.0247,1.0,0.0,0.7083,0.0406,1.0,0.0,0.7356,0.0335,1.0,0.0,0.8005,0.0148,1.0,0.0,0.7206,0.0268,1.0,0.0
PCA-FT,87,113,152,1096,0.36,0.91,0.16505525,0.435,0.8782,0.0935,0.2472,0.817,0.6353,0.3964,0.2911,0.27,0.3132,1.0352,0.2014,0.0431,0.0002,0.817,0.0164,1.0,0.0,0.3639,0.0478,1.0,0.0,0.4372,0.0585,1.0,0.0,0.7518,0.0265,1.0,0.0,0.3961,0.0492,1.0,0.0
PCA-NE,274,217,195,762,0.58,0.78,0.32389503,0.558,0.7962,0.2217,0.3994,0.7155,0.6813,0.5708,0.3584,0.36,0.3542,2.3791,0.7724,0.0432,0.0001,0.7154,0.0353,1.0,0.0,0.5842,0.0611,1.0,0.0,0.5597,0.0517,1.0,0.0,0.7673,0.0397,1.0,0.0,0.5706,0.0505,1.0,0.0
PCA-SWF,309,121,84,934,0.79,0.89,0.27140884,0.7186,0.9175,0.1147,0.6012,0.8584,0.8358,0.7509,0.6536,0.68,0.6361,0.4274,0.1043,0.0431,0.0002,0.8584,0.0301,1.0,0.0,0.7864,0.0674,1.0,0.0,0.7195,0.0523,1.0,0.0,0.9238,0.0229,1.0,0.0,0.7507,0.0534,1.0,0.0
PCA-HRD,168,218,248,814,0.4,0.79,0.28729282,0.4352,0.7665,0.2112,0.265,0.6782,0.5963,0.419,0.1971,0.19,0.2017,0.5629,0.0127,0.0431,0.0001,0.6782,0.0201,1.0,0.0,0.4039,0.0695,1.0,0.0,0.4329,0.0405,1.0,0.0,0.6348,0.0357,1.0,0.0,0.417,0.0536,1.0,0.0
PCA-HRH,238,237,277,696,0.46,0.75,0.35566298,0.5011,0.7153,0.254,0.3165,0.645,0.6041,0.4808,0.2122,0.21,0.2164,0.9245,0.1547,0.0431,0.0001,0.645,0.0288,1.0,0.0,0.4621,0.0482,1.0,0.0,0.5015,0.0429,1.0,0.0,0.6547,0.0162,1.0,0.0,0.4804,0.0428,1.0,0.0
CAE-CS,0,2,12,1434,0.0,1.0,0.00828729,0.0,0.9917,0.0014,0.0,0.9903,0.4993,0.0,-0.0034,0.0,-0.0083,0.7093,0.0189,0.0431,0.0001,0.9903,0.0026,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8942,0.064,1.0,0.0,0.0,0.0,1.0,0.0
CAE-TYW,23,13,39,1373,0.37,0.99,0.04281768,0.6389,0.9724,0.0094,0.3067,0.9641,0.6808,0.4694,0.4701,0.36,0.6113,0.5564,0.0377,0.0437,0.0001,0.9641,0.0071,1.0,0.0,0.3705,0.1649,1.0,0.0,0.6098,0.128,1.0,0.0,0.9213,0.0349,1.0,0.0,0.4525,0.1612,1.0,0.0
CAE-NWPTY,466,212,223,547,0.68,0.72,0.47582873,0.6873,0.7104,0.2793,0.5172,0.6996,0.6985,0.6818,0.3974,0.4,0.3977,3.1504,0.1146,0.0429,0.0002,0.6996,0.0274,0.9981,0.0013,0.6763,0.0153,0.9975,0.0014,0.6887,0.0365,0.9985,0.0014,0.7701,0.0218,1.0,0.0,0.6822,0.0236,0.998,0.0013
CAE-FT,94,109,145,1100,0.39,0.91,0.16505525,0.4631,0.8835,0.0902,0.2701,0.8246,0.6516,0.4253,0.3241,0.3,0.3466,2.1923,0.0884,0.0431,0.0001,0.8246,0.0202,0.9998,0.0003,0.3934,0.0428,0.999,0.0021,0.4669,0.0673,1.0,0.0,0.7695,0.0324,1.0,0.0,0.4264,0.0517,0.9995,0.001
CAE-NE,275,204,194,775,0.59,0.79,0.32389503,0.5741,0.7998,0.2084,0.4086,0.7251,0.689,0.5802,0.3759,0.38,0.3739,3.1975,0.1268,0.0431,0.0001,0.7251,0.0258,0.9995,0.0004,0.5865,0.0589,1.0,0.0,0.5733,0.0353,0.9984,0.0013,0.7865,0.0299,1.0,0.0,0.5794,0.0453,0.9992,0.0007
CAE-SWF,291,84,102,971,0.74,0.92,0.27140884,0.776,0.9049,0.0796,0.6101,0.8715,0.8304,0.7578,0.6708,0.66,0.6809,1.1162,0.0825,0.0431,0.0,0.8716,0.0179,1.0,0.0,0.7406,0.0491,1.0,0.0,0.7762,0.0335,1.0,0.0,0.9379,0.014,1.0,0.0,0.7574,0.0371,1.0,0.0
