id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std
PCA-CS,0,17,12,1419,0.0,0.99,0.00828729,0.0,0.9916,0.0118,0.0,0.98,0.4941,0.0,-0.01,-0.01,-0.0084,0.623,0.11,0.0428,0.0007,0.98,0.0055,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6963,0.0323,1.0,0.0,0.0,0.0,1.0,0.0
PCA-TYW,36,69,26,1317,0.58,0.95,0.04281768,0.3429,0.9806,0.0498,0.2748,0.9344,0.7654,0.4311,0.4144,0.53,0.3235,0.4875,0.1467,0.0433,0.0001,0.9344,0.0149,1.0,0.0,0.5795,0.1235,1.0,0.0,0.351,0.0875,1.0,0.0,0.9206,0.0275,1.0,0.0,0.4341,0.0964,1.0,0.0
PCA-NWPTY,491,178,198,581,0.71,0.77,0.47582873,0.7339,0.7458,0.2345,0.5663,0.7403,0.7391,0.7231,0.4789,0.48,0.4797,1.18,0.3109,0.0438,0.0001,0.7403,0.0243,1.0,0.0,0.7127,0.0419,1.0,0.0,0.7356,0.0328,1.0,0.0,0.8004,0.0147,1.0,0.0,0.7229,0.0269,1.0,0.0
PCA-FT,99,167,140,1042,0.41,0.86,0.16505525,0.3722,0.8816,0.1381,0.2438,0.788,0.638,0.3921,0.2647,0.27,0.2538,0.9972,0.1741,0.0435,0.0001,0.788,0.0233,1.0,0.0,0.4142,0.0529,1.0,0.0,0.375,0.0564,1.0,0.0,0.7524,0.0265,1.0,0.0,0.3927,0.0521,1.0,0.0
PCA-NE,287,234,182,745,0.61,0.76,0.32389503,0.5509,0.8037,0.239,0.4083,0.7127,0.6865,0.5798,0.3636,0.37,0.3546,2.3816,0.7712,0.0435,0.0001,0.7127,0.0285,1.0,0.0,0.6119,0.0655,1.0,0.0,0.5515,0.0392,1.0,0.0,0.768,0.04,1.0,0.0,0.5789,0.0444,1.0,0.0
PCA-SWF,319,132,74,923,0.81,0.87,0.27140884,0.7073,0.9258,0.1251,0.6076,0.8577,0.8433,0.7559,0.6593,0.68,0.6331,0.4061,0.0907,0.0438,0.0004,0.8577,0.0276,1.0,0.0,0.8118,0.0614,1.0,0.0,0.7076,0.0443,1.0,0.0,0.9244,0.0223,1.0,0.0,0.7557,0.0485,1.0,0.0
PCA-HRD,184,257,232,775,0.44,0.75,0.28729282,0.4172,0.7696,0.249,0.2734,0.6623,0.5966,0.4294,0.19,0.19,0.1868,0.579,0.0131,0.0436,0.0001,0.6623,0.0135,1.0,0.0,0.4424,0.0581,1.0,0.0,0.416,0.0253,1.0,0.0,0.6338,0.0368,1.0,0.0,0.4281,0.0385,1.0,0.0
PCA-HRH,250,261,265,672,0.49,0.72,0.35566298,0.4892,0.7172,0.2797,0.3222,0.6367,0.6028,0.4873,0.2061,0.21,0.2064,0.9208,0.1511,0.0436,0.0,0.6367,0.022,1.0,0.0,0.4854,0.0393,1.0,0.0,0.4894,0.0303,1.0,0.0,0.6536,0.0159,1.0,0.0,0.487,0.0321,1.0,0.0
CAE-CS,1,10,11,1426,0.08,0.99,0.00828729,0.0909,0.9923,0.007,0.0455,0.9855,0.5382,0.087,0.0797,0.07,0.0832,0.8322,0.0186,0.0437,0.0006,0.9855,0.004,1.0,0.0,0.0667,0.1333,1.0,0.0,0.0667,0.1333,1.0,0.0,0.8866,0.0659,1.0,0.0,0.0667,0.1333,1.0,0.0
CAE-TYW,32,44,30,1342,0.52,0.97,0.04281768,0.4211,0.9781,0.0317,0.3019,0.9489,0.7422,0.4638,0.4397,0.49,0.3992,0.5957,0.041,0.0441,0.0001,0.9489,0.0147,1.0,0.0,0.5128,0.1463,1.0,0.0,0.4312,0.135,1.0,0.0,0.9188,0.0363,1.0,0.0,0.4656,0.1355,1.0,0.0
CAE-NWPTY,469,217,220,542,0.68,0.71,0.47582873,0.6837,0.7113,0.2859,0.5177,0.6982,0.6974,0.6822,0.3949,0.39,0.395,3.1575,0.1209,0.0434,0.0001,0.6982,0.0271,0.9988,0.0009,0.6807,0.0143,0.9989,0.0009,0.6854,0.0371,0.9986,0.0014,0.7701,0.0218,1.0,0.0,0.6826,0.0222,0.9987,0.0009
